0,20,40,60,80,100,120,140,160,180,200
227,0.017324,0.017814,0.018107,0.018785,0.019432,0.018953,0.022087,0.027619,0.024937,0.03066
228,0.017323,0.017777,0.018095,0.018425,0.019237,0.018854,0.021924,0.02618,0.024907,0.030433
229,0.017246,0.017763,0.018003,0.018391,0.019043,0.018831,0.021891,0.025946,0.024479,0.030257
230,0.017242,0.017514,0.017985,0.018342,0.018815,0.018749,0.021831,0.025267,0.02443,0.029076
231,0.017035,0.017476,0.017853,0.018294,0.01869,0.018736,0.021727,0.025168,0.023903,0.028487
232,0.017001,0.017218,0.017497,0.018176,0.01861,0.018582,0.021577,0.025136,0.023748,0.028323
233,0.016831,0.017063,0.017428,0.018117,0.018339,0.018528,0.021508,0.024618,0.023736,0.027718
234,0.016698,0.017031,0.017387,0.017694,0.017991,0.018148,0.02136,0.024515,0.023036,0.027452
235,0.016684,0.016909,0.017002,0.017393,0.017845,0.01811,0.021242,0.024309,0.022751,0.027002
236,0.016633,0.01681,0.01694,0.017144,0.017785,0.017487,0.021037,0.024262,0.022709,0.026287
237,0.016587,0.016766,0.016871,0.01712,0.017766,0.017418,0.021011,0.024165,0.022435,0.026277
238,0.016393,0.016598,0.016844,0.01712,0.017542,0.017287,0.020896,0.024129,0.022416,0.026239
239,0.016357,0.016591,0.016707,0.017108,0.017503,0.017259,0.020851,0.023832,0.022285,0.025919
240,0.016304,0.01652,0.016632,0.017041,0.017488,0.01725,0.020754,0.023397,0.022079,0.025818
241,0.016254,0.016501,0.01662,0.016947,0.017302,0.017199,0.020694,0.023373,0.021947,0.025377
242,0.016207,0.016486,0.016607,0.016926,0.017289,0.017107,0.020486,0.023248,0.021462,0.02517
243,0.016187,0.016389,0.016583,0.01691,0.017244,0.017049,0.020075,0.022624,0.021336,0.024647
244,0.016106,0.016387,0.016561,0.016882,0.017199,0.017041,0.019825,0.022313,0.02102,0.024543
245,0.016042,0.016261,0.016504,0.01688,0.017159,0.016975,0.0198,0.022188,0.020791,0.02437
246,0.015971,0.016141,0.016464,0.016831,0.017156,0.016968,0.019692,0.022006,0.020552,0.024342
247,0.015807,0.016076,0.016373,0.01683,0.017126,0.016917,0.01945,0.021733,0.020263,0.023865
248,0.015776,0.016071,0.016333,0.016772,0.017001,0.01691,0.019442,0.0213,0.020182,0.023532
249,0.015754,0.016015,0.016243,0.016632,0.016985,0.016831,0.019366,0.021265,0.019614,0.023236
250,0.015751,0.015922,0.016231,0.016534,0.016985,0.016797,0.019344,0.021021,0.018675,0.023195
251,0.015696,0.015904,0.016171,0.016525,0.016981,0.016758,0.019224,0.020901,0.018589,0.023171
252,0.015551,0.015897,0.016146,0.016497,0.016961,0.016722,0.019049,0.020754,0.018429,0.023057
253,0.015441,0.015833,0.015988,0.016462,0.016787,0.016715,0.018979,0.02061,0.018381,0.022635
254,0.015417,0.015652,0.015852,0.016276,0.01666,0.016683,0.018953,0.020606,0.018309,0.022477
255,0.015324,0.015572,0.015835,0.016133,0.016596,0.016488,0.018839,0.020483,0.018118,0.022077
256,0.015271,0.015528,0.015731,0.016106,0.016343,0.016477,0.01871,0.02037,0.018076,0.021396
257,0.015182,0.01552,0.015617,0.015912,0.016249,0.01633,0.018506,0.02026,0.01804,0.021185
258,0.015004,0.015248,0.015555,0.015732,0.016087,0.016135,0.01841,0.020147,0.017972,0.021075
259,0.01492,0.015088,0.01534,0.01572,0.016033,0.016134,0.018245,0.019604,0.017743,0.021032
260,0.014911,0.01508,0.015246,0.015698,0.015956,0.01613,0.018049,0.019064,0.017684,0.020993
261,0.014838,0.014911,0.015208,0.015586,0.015952,0.01605,0.01789,0.019034,0.017177,0.020798
262,0.014749,0.014874,0.015149,0.015532,0.01595,0.016011,0.017698,0.019033,0.017145,0.020771
263,0.014611,0.014835,0.015094,0.01546,0.015831,0.015938,0.017401,0.018953,0.017087,0.020743
264,0.014544,0.014833,0.015066,0.015449,0.015825,0.015366,0.017355,0.018847,0.017059,0.020732
265,0.014537,0.014823,0.015029,0.01534,0.015531,0.015313,0.01726,0.018345,0.017059,0.020533
266,0.014523,0.014816,0.014915,0.015115,0.015501,0.015269,0.017057,0.01831,0.016829,0.020516
267,0.014477,0.014721,0.014888,0.015063,0.0153,0.015133,0.01704,0.018185,0.016798,0.020019
268,0.014353,0.014715,0.014761,0.01492,0.015192,0.015081,0.017028,0.01818,0.016661,0.019971
269,0.014209,0.014507,0.014706,0.014813,0.015134,0.015062,0.017028,0.018108,0.016574,0.019881
270,0.013958,0.014197,0.014469,0.014764,0.015102,0.014988,0.016722,0.017756,0.016549,0.019833
271,0.01392,0.014135,0.014338,0.014693,0.014937,0.0149,0.016582,0.017407,0.016399,0.019384
272,0.013906,0.01402,0.014314,0.0146,0.014877,0.014842,0.016492,0.017398,0.016393,0.019061
273,0.013735,0.013967,0.014224,0.014515,0.014835,0.01444,0.016314,0.017356,0.016341,0.019012
274,0.013429,0.01355,0.013853,0.014367,0.014813,0.014423,0.016197,0.017066,0.016231,0.018395
275,0.013398,0.013549,0.013814,0.014239,0.014798,0.014407,0.01598,0.016919,0.015874,0.018048
276,0.013274,0.013543,0.013767,0.01414,0.014709,0.014335,0.015774,0.016696,0.015758,0.018013
277,0.013208,0.01354,0.013725,0.014133,0.01441,0.014281,0.015708,0.016568,0.015657,0.017813
278,0.013176,0.013452,0.013721,0.01413,0.01434,0.014206,0.015644,0.016447,0.015645,0.017707
279,0.013126,0.013293,0.013453,0.013993,0.014318,0.014197,0.015615,0.016432,0.015621,0.01765
280,0.012954,0.013236,0.01334,0.013772,0.014235,0.013799,0.015613,0.016349,0.01551,0.017499
281,0.012739,0.0131,0.013298,0.013605,0.014141,0.013709,0.015562,0.016221,0.014542,0.017406
282,0.012726,0.013032,0.013268,0.013551,0.014137,0.013604,0.015496,0.016184,0.014495,0.01731
283,0.012723,0.013022,0.013263,0.013486,0.014075,0.013579,0.015258,0.016053,0.014457,0.017174
284,0.012684,0.012946,0.013044,0.013322,0.013527,0.013574,0.015221,0.015857,0.014404,0.017172
285,0.012655,0.012894,0.01304,0.013284,0.01346,0.013567,0.014687,0.01539,0.014341,0.016958
286,0.012652,0.012791,0.01303,0.013216,0.01341,0.013443,0.014632,0.015388,0.01424,0.016794
287,0.012645,0.01279,0.012977,0.013167,0.013383,0.013426,0.014414,0.015356,0.014058,0.016501
